Reading Airport file from airports.txt
There were 5740 Airports with IATA code
Reading Routes file from routes.txt
Correct routes found : 68292
Airports found in routes : 39387
There are 2455 airports that are dead ends

     ###############################################################################
     ............... Page Rank --- Airport name (Airport code) .....................
     ###############################################################################
     
0.0025253363 --- Denver Intl, United States (DEN)
0.0021758545 --- Chicago Ohare Intl, United States (ORD)
0.0021171778 --- Domododevo, Russia (DME)
0.0019187567 --- Sydney Intl, Australia (SYD)
0.0019080448 --- Dallas Fort Worth Intl, United States (DFW)
0.0018802911 --- Hartsfield Jackson Atlanta Intl, United States (ATL)
0.0018672265 --- Los Angeles Intl, United States (LAX)
0.0018184874 --- Eldorado Intl, Colombia (BOG)
0.0016606626 --- Aeroparque Jorge Newbery, Argentina (AEP)
0.0015760449 --- Licenciado Benito Juarez Intl, Mexico (MEX)
0.0015207465 --- Ninoy Aquino Intl, Philippines (MNL)
0.001517014 --- Capital Intl, China (PEK)
0.0014782505 --- Tokyo Intl, Japan (HND)
0.0014287907 --- Ataturk, Turkey (IST)
0.0013988427 --- Johannesburg Intl, South Africa (JNB)
0.0013809715 --- Minneapolis St Paul Intl, United States (MSP)
0.0012769069 --- Charlotte Douglas Intl, United States (CLT)
0.0012720187 --- Brisbane Intl, Australia (BNE)
0.001258774 --- Indira Gandhi Intl, India (DEL)
0.0012519404 --- Changi Intl, Singapore (SIN)
0.0012195787 --- Lester B Pearson Intl, Canada (YYZ)
0.0012173171 --- Vancouver Intl, Canada (YVR)
0.0012159616 --- George Bush Intercontinental, United States (IAH)
0.0011826674 --- Pulkovo, Russia (LED)
0.0011505916 --- Schiphol, Netherlands (AMS)
0.001123025 --- Dubai Intl, United Arab Emirates (DXB)
0.0011177918 --- Charles De Gaulle, France (CDG)
0.0011117323 --- Chhatrapati Shivaji Intl, India (BOM)
0.001110002 --- Mehrabad Intl, Iran (THR)
0.0010990023 --- Frankfurt Main, Germany (FRA)
0.0010939732 --- Pudong, China (PVG)
0.0010911457 --- Auckland Intl, New Zealand (AKL)
0.0010848993 --- Helsinki Vantaa, Finland (HEL)
0.0010767158 --- Jorge Chavez Intl, Peru (LIM)
0.0010522729 --- Barcelona, Spain (BCN)
