Reading Airport file from airports.txt
There were 5740 Airports with IATA code
Reading Routes file from routes.txt
Correct routes found : 68292
Airports found in routes : 39387
There are 2455 airports that are dead ends

     ###############################################################################
     ............... Page Rank --- Airport name (Airport code) .....................
     ###############################################################################
     
0.0051546502 --- Denver Intl, United States (DEN)
0.0050431754 --- Chicago Ohare Intl, United States (ORD)
0.0049893447 --- Los Angeles Intl, United States (LAX)
0.0039283546 --- Hartsfield Jackson Atlanta Intl, United States (ATL)
0.0037740588 --- Sydney Intl, Australia (SYD)
0.0037587619 --- Heathrow, United Kingdom (LHR)
0.0037477571 --- Changi Intl, Singapore (SIN)
0.0037217077 --- Capital Intl, China (PEK)
0.0036599285 --- Charles De Gaulle, France (CDG)
0.0036050326 --- Dallas Fort Worth Intl, United States (DFW)
0.0035647294 --- Frankfurt Main, Germany (FRA)
0.0035437413 --- Domododevo, Russia (DME)
0.0033324331 --- John F Kennedy Intl, United States (JFK)
0.0033066755 --- Schiphol, Netherlands (AMS)
0.003146637 --- Lester B Pearson Intl, Canada (YYZ)
0.0031124112 --- Dubai Intl, United Arab Emirates (DXB)
0.0030757127 --- Incheon Intl, South Korea (ICN)
0.002993349 --- Ataturk, Turkey (IST)
0.0029812684 --- Eldorado Intl, Colombia (BOG)
0.002890527 --- Pudong, China (PVG)
0.0028333166 --- Barcelona, Spain (BCN)
0.0027818087 --- Licenciado Benito Juarez Intl, Mexico (MEX)
0.0027264325 --- Hong Kong Intl, Hong Kong (HKG)
0.0027095489 --- Brisbane Intl, Australia (BNE)
0.0026749719 --- Suvarnabhumi Intl, Thailand (BKK)
0.00263374 --- Miami Intl, United States (MIA)
0.0025948739 --- Ninoy Aquino Intl, Philippines (MNL)
0.0025782153 --- Minneapolis St Paul Intl, United States (MSP)
0.0025664949 --- George Bush Intercontinental, United States (IAH)
0.0025603462 --- Indira Gandhi Intl, India (DEL)
0.0025316573 --- Charlotte Douglas Intl, United States (CLT)
0.0025223129 --- Aeroparque Jorge Newbery, Argentina (AEP)
0.0025175234 --- Fiumicino, Italy (FCO)
0.0025116938 --- San Francisco Intl, United States (SFO)
0.0025087587 --- Kuala Lumpur Intl, Malaysia (KUL)
0.002481272 --- Seattle Tacoma Intl, United States (SEA)
0.0024628869 --- Gatwick, United Kingdom (LGW)
0.0024532652 --- Pulkovo, Russia (LED)
0.0024184913 --- Barajas, Spain (MAD)
0.0024084003 --- Franz Josef Strauss, Germany (MUC)
0.0023644626 --- Johannesburg Intl, South Africa (JNB)
0.0023506545 --- Narita Intl, Japan (NRT)
0.0023116443 --- Schwechat, Austria (VIE)
0.0022425809 --- Mc Carran Intl, United States (LAS)
0.002236939 --- Guarulhos Gov Andre Franco Montouro, Brazil (GRU)
0.0022317617 --- Baiyun Intl, China (CAN)
0.0022304636 --- Vancouver Intl, Canada (YVR)
0.0021950046 --- Chhatrapati Shivaji Intl, India (BOM)
0.0021338051 --- Soekarno Hatta Intl, Indonesia (CGK)
0.0021215282 --- Tokyo Intl, Japan (HND)
0.0021030332 --- Ted Stevens Anchorage Intl, United States (ANC)
0.0020887127 --- Auckland Intl, New Zealand (AKL)
