Reading Airport file from airports.txt
There were 5740 Airports with IATA code
Reading Routes file from routes.txt
Correct routes found : 68292
Airports found in routes : 39387
There are 2455 airports that are dead ends

     ###############################################################################
     ............... Page Rank --- Airport name (Airport code) .....................
     ###############################################################################
     
0.0007649214 --- Denver Intl, United States (DEN)
0.0007022549 --- Domododevo, Russia (DME)
0.0006534578 --- Chicago Ohare Intl, United States (ORD)
0.000630462 --- Dallas Fort Worth Intl, United States (DFW)
0.000606215 --- Eldorado Intl, Colombia (BOG)
0.0006018191 --- Hartsfield Jackson Atlanta Intl, United States (ATL)
0.00059989 --- Sydney Intl, Australia (SYD)
0.0005826317 --- Aeroparque Jorge Newbery, Argentina (AEP)
0.0005470582 --- Tokyo Intl, Japan (HND)
0.0005433374 --- Licenciado Benito Juarez Intl, Mexico (MEX)
0.0005376587 --- Ninoy Aquino Intl, Philippines (MNL)
0.0005219166 --- Los Angeles Intl, United States (LAX)
0.0004904753 --- Johannesburg Intl, South Africa (JNB)
0.0004800118 --- Minneapolis St Paul Intl, United States (MSP)
0.0004791125 --- Ataturk, Turkey (IST)
0.0004782048 --- Capital Intl, China (PEK)
0.0004551823 --- Charlotte Douglas Intl, United States (CLT)
0.0004369108 --- Mehrabad Intl, Iran (THR)
0.0004368861 --- Vancouver Intl, Canada (YVR)
0.0004348603 --- Indira Gandhi Intl, India (DEL)
0.0004270957 --- George Bush Intercontinental, United States (IAH)
0.0004226693 --- Helsinki Vantaa, Finland (HEL)
0.0004217699 --- Don Muang Intl, Thailand (DMK)
0.0004190037 --- Brisbane Intl, Australia (BNE)
0.0004102534 --- Pulkovo, Russia (LED)
0.0004075396 --- Chhatrapati Shivaji Intl, India (BOM)
0.0003997408 --- Jorge Chavez Intl, Peru (LIM)
0.0003932661 --- Auckland Intl, New Zealand (AKL)
0.0003876897 --- Lester B Pearson Intl, Canada (YYZ)
0.0003840105 --- Wujiaba, China (KMG)
0.0003823781 --- Orly, France (ORY)
0.0003783942 --- Arlanda, Sweden (ARN)
0.0003780648 --- Gardermoen, Norway (OSL)
0.0003755144 --- Detroit Metro Wayne Co, United States (DTW)
0.0003690511 --- Pudong, China (PVG)
0.0003682099 --- Bethel, United States (BET)
0.0003675043 --- Ted Stevens Anchorage Intl, United States (ANC)
0.0003631008 --- Viracopos, Brazil (VCP)
0.0003617999 --- King Abdulaziz Intl, Saudi Arabia (JED)
0.0003615202 --- Faa\\'a International, French Polynesia (PPT)
0.000360637 --- Soekarno Hatta Intl, Indonesia (CGK)
0.0003588608 --- Salt Lake City Intl, United States (SLC)
0.0003583521 --- Schiphol, Netherlands (AMS)
0.0003565568 --- Barcelona, Spain (BCN)
0.0003557025 --- Eleftherios Venizelos Intl, Greece (ATH)
0.000354432 --- Shuangliu, China (CTU)
0.0003525345 --- King Khaled Intl, Saudi Arabia (RUH)
0.000351898 --- Changi Intl, Singapore (SIN)
0.000348672 --- Houari Boumediene, Algeria (ALG)
0.0003472279 --- Dubai Intl, United Arab Emirates (DXB)
0.0003449287 --- Honiara International, Solomon Islands (HIR)
0.0003444103 --- Sabiha Gokcen, Turkey (SAW)
0.000343855 --- General Edward Lawrence Logan Intl, United States (BOS)
0.0003426997 --- Son Sant Joan, Spain (PMI)
0.0003425607 --- Diwopu, China (URC)
0.0003388635 --- Suvarnabhumi Intl, Thailand (BKK)
0.0003374508 --- Washington Dulles Intl, United States (IAD)
0.0003368096 --- Seattle Tacoma Intl, United States (SEA)
0.0003365477 --- San Francisco Intl, United States (SFO)
0.0003353133 --- Simon Bolivar Intl, Venezuela (CCS)
0.0003338401 --- Baiyun Intl, China (CAN)
0.0003322177 --- Port Moresby Jacksons Intl, Papua New Guinea (POM)
0.0003300576 --- Tribhuvan Intl, Nepal (KTM)
0.0003292112 --- Fairbanks Intl, United States (FAI)
0.0003283175 --- Perth Intl, Australia (PER)
0.0003275695 --- Incheon Intl, South Korea (ICN)
0.0003262012 --- Gatwick, United Kingdom (LGW)
0.0003254912 --- Philadelphia Intl, United States (PHL)
0.0003248677 --- Mc Carran Intl, United States (LAS)
0.000323054 --- Bole Intl, Ethiopia (ADD)
0.000321763 --- Miami Intl, United States (MIA)
0.0003184392 --- Vnukovo, Russia (VKO)
0.0003181703 --- Melbourne Intl, Australia (MEL)
0.0003175415 --- Schwechat, Austria (VIE)
0.0003171615 --- Charles De Gaulle, France (CDG)
0.0003167968 --- Lambert St Louis Intl, United States (STL)
0.0003164058 --- Pierre Elliott Trudeau Intl, Canada (YUL)
0.0003151165 --- Frankfurt Main, Germany (FRA)
0.0003144538 --- John F Kennedy Intl, United States (JFK)
0.0003132852 --- Fort Lauderdale Hollywood Intl, United States (FLL)
0.0003124336 --- Kuala Lumpur Intl, Malaysia (KUL)
0.0003122373 --- Sheremetyevo, Russia (SVO)
0.0003112039 --- Lynden Pindling Intl, Bahamas (NAS)
0.0003105168 --- Orlando Sanford Intl, United States (SFB)
0.0003102817 --- Adelaide Intl, Australia (ADL)
0.0003098935 --- Juneau Intl, United States (JNU)
0.0003095954 --- Jomo Kenyatta International, Kenya (NBO)
0.000309162 --- Calgary Intl, Canada (YYC)
0.0003078066 --- Phoenix Sky Harbor Intl, United States (PHX)
0.0003075249 --- Xianyang, China (XIY)
0.0003067929 --- Jose Marti Intl, Cuba (HAV)
0.00030639 --- Fiumicino, Italy (FCO)
0.0003048612 --- Kastrup, Denmark (CPH)
0.000303839 --- Nnamdi Azikiwe Intl, Nigeria (ABV)
0.0003008575 --- Luanda 4 De Fevereiro, Angola (LAD)
