Reading Airport file from airports.txt
There were 5740 Airports with IATA code
Reading Routes file from routes.txt
Correct routes found : 68292
Airports found in routes : 39387
There are 2455 airports that are dead ends

     ###############################################################################
     ............... Page Rank --- Airport name (Airport code) .....................
     ###############################################################################
     
0.0013490245 --- Denver Intl, United States (DEN)
0.0012018857 --- Domododevo, Russia (DME)
0.0011392995 --- Chicago Ohare Intl, United States (ORD)
0.0010689586 --- Dallas Fort Worth Intl, United States (DFW)
0.0010305184 --- Sydney Intl, Australia (SYD)
0.0010247356 --- Hartsfield Jackson Atlanta Intl, United States (ATL)
0.0010242447 --- Eldorado Intl, Colombia (BOG)
0.0009653262 --- Aeroparque Jorge Newbery, Argentina (AEP)
0.0009128735 --- Los Angeles Intl, United States (LAX)
0.0008992478 --- Licenciado Benito Juarez Intl, Mexico (MEX)
0.0008890995 --- Tokyo Intl, Japan (HND)
0.0008814014 --- Ninoy Aquino Intl, Philippines (MNL)
0.0008001035 --- Johannesburg Intl, South Africa (JNB)
0.0007990814 --- Capital Intl, China (PEK)
0.0007875341 --- Ataturk, Turkey (IST)
0.0007821032 --- Minneapolis St Paul Intl, United States (MSP)
0.0007301225 --- Charlotte Douglas Intl, United States (CLT)
0.0007009005 --- Indira Gandhi Intl, India (DEL)
0.0006977913 --- Vancouver Intl, Canada (YVR)
0.0006821339 --- George Bush Intercontinental, United States (IAH)
0.0006817688 --- Brisbane Intl, Australia (BNE)
0.0006793904 --- Mehrabad Intl, Iran (THR)
0.0006577473 --- Helsinki Vantaa, Finland (HEL)
0.0006555311 --- Pulkovo, Russia (LED)
0.0006464368 --- Don Muang Intl, Thailand (DMK)
0.0006399352 --- Chhatrapati Shivaji Intl, India (BOM)
0.0006289959 --- Lester B Pearson Intl, Canada (YYZ)
0.000624608 --- Jorge Chavez Intl, Peru (LIM)
0.000618047 --- Auckland Intl, New Zealand (AKL)
0.0005897567 --- Wujiaba, China (KMG)
0.0005870043 --- Orly, France (ORY)
0.0005853286 --- Changi Intl, Singapore (SIN)
0.0005827622 --- Pudong, China (PVG)
0.0005814775 --- Arlanda, Sweden (ARN)
0.0005811963 --- Gardermoen, Norway (OSL)
0.000577625 --- Schiphol, Netherlands (AMS)
0.0005771383 --- Detroit Metro Wayne Co, United States (DTW)
0.0005752803 --- Ted Stevens Anchorage Intl, United States (ANC)
0.0005682669 --- Bethel, United States (BET)
0.000559725 --- Barcelona, Spain (BCN)
0.0005587972 --- Dubai Intl, United Arab Emirates (DXB)
0.0005576285 --- Soekarno Hatta Intl, Indonesia (CGK)
0.0005525592 --- Faa\\'a International, French Polynesia (PPT)
0.0005484502 --- King Abdulaziz Intl, Saudi Arabia (JED)
0.0005421725 --- Viracopos, Brazil (VCP)
0.0005359024 --- Salt Lake City Intl, United States (SLC)
0.0005351579 --- Shuangliu, China (CTU)
0.0005341581 --- Suvarnabhumi Intl, Thailand (BKK)
0.0005324312 --- Eleftherios Venizelos Intl, Greece (ATH)
0.0005257896 --- King Khaled Intl, Saudi Arabia (RUH)
0.0005243347 --- Seattle Tacoma Intl, United States (SEA)
0.000520188 --- Incheon Intl, South Korea (ICN)
0.0005186163 --- San Francisco Intl, United States (SFO)
0.0005175504 --- General Edward Lawrence Logan Intl, United States (BOS)
0.0005164192 --- Son Sant Joan, Spain (PMI)
0.0005162075 --- Charles De Gaulle, France (CDG)
